@relation agua-cat4-sem_CAT-weka.filters.unsupervised.instance.Resample-S1-Z65.0-no-replacement

@attribute TRANS numeric
@attribute TEMP numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute COND numeric
@attribute Cl numeric
@attribute FeTotal numeric
@attribute Ca numeric
@attribute Mg numeric
@attribute Na numeric
@attribute K numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute ORP numeric

@data
2.5,29,6.29,7.32,6.89,54.6,2.94,0.29,4,0.48,1.6,1,21.79,24.83,1.97,9.76,1.8,4.41,1.01,90.2
2.3,30.83,4.8,7.43,11.71,58,2.9,0.45,3.2,1.65,1.6,3.1,0.82,1.52,13.23,24.09,6,6.19,2.04,107.2
2.3,30.3,3.36,6.88,4.51,50.6,1.63,0.13,4,0.58,1.8,1.1,43.99,10.78,9.98,19.55,2.8,8.81,11.46,188.19
2.2,30.8,6.78,7.08,5.6,51.8,2.34,0.22,3.36,2.33,2.1,1.2,19.57,4.3,0.59,10.93,3.4,14.52,3.72,95.7
2.5,30.2,5.57,7.04,4.24,43,2.49,0.46,4.32,2.24,1.4,1.3,10.7,10.83,8.67,27.04,2.4,11.12,3.53,184.4
2,30.6,7.28,7.76,6.43,53.4,1.92,0.66,4.72,2.09,2.6,1.2,24.01,3.13,1.28,12.3,2.8,5.61,9.15,205.6
0.8,29.5,4.94,7.3,5.88,56.1,2.39,0.97,4.32,1.75,1.7,2.1,10.22,25.46,23.87,32.13,5,4.76,8.25,204.66
2.5,29.2,4.61,6.6,5.8,44.2,1.56,0.21,4.8,0.97,1.8,1.5,4.03,88.44,0.24,9.24,1,2.85,3.16,181.5
0.8,29.1,5.41,7.15,9.2,56.8,1.96,1.93,4,0.97,2.2,2.1,9.6,37.76,13.91,40.98,9.2,13.57,26.2,157.6
1.5,29,6.25,7.12,7.68,45.3,2.06,0.94,3.52,1.94,2.6,1.8,11.35,37.76,5.44,20.18,4.6,8.55,7.41,233.9
3,29.1,1.23,6.64,6.77,41.2,2.31,1.07,4,2.62,0.8,0.4,27.34,134.53,6.13,14.01,2.4,2.38,4.2,137.4
3,30.9,7.48,7.64,5.36,41.9,1.99,0.15,4.16,1.46,2.4,1,24.01,18.34,0.24,15.04,2.8,6.66,1.41,160.1
3.1,30.1,0.98,6.55,7.6,51.2,2.56,0.43,3.36,2.62,3.8,2.7,17.35,23.9,0.59,12.3,2.4,4.48,3.23,187.2
1.5,30.7,6.95,7.57,6.61,52.5,2.53,0.33,4,2.53,1.7,1,1.82,6.79,19.98,84.98,10,3.91,13.08,152.12
3.1,30.1,5.26,7.41,7.28,53.2,2.29,0.75,4.16,2.04,2.5,1.5,51.87,6.94,12.63,13.76,1.8,1.07,1.59,188.19
2.5,30.9,7.07,7.59,4.4,52.9,1.8,0.65,4.48,1.26,2.2,1.3,19.97,13.61,2.97,11.89,0.8,3.09,2.41,120.8
0.8,29.9,7.76,7.15,6.43,49,1.77,2.51,3.36,2.82,2.2,1.5,31.78,11.72,5.09,27.73,6.8,5.61,12.63,174.8
1.9,29.9,6.28,7.78,5.2,64,2.9,0.41,3.2,1.46,0.9,0.9,8.51,0.96,2.92,9.75,4,11.67,5.57,145
2.7,30,6.97,6.88,7.6,48.9,2.45,0.92,3.04,1.56,3.3,1.9,12,5.33,29.53,37.14,1.4,2.86,1.29,229.17
2.6,30,5.16,7.3,7.48,54.7,2.13,0.53,3.84,2.53,4.8,1.9,80.78,21.31,10.7,17.5,1.6,4.58,2.69,88.1
1.4,29.6,5.28,7.07,5.88,49.1,2.39,2.35,3.68,1.65,3.6,1.4,44.3,65.45,32.91,51.78,12,5,21.2,177.6
3.5,30.6,6.14,7,2.82,71.5,2.98,0.16,4,1.85,1.2,0.7,30.67,6.95,0.93,9.09,1,7.85,12.14,120.9
2.2,30,0.44,6.54,5.92,72.5,2.63,2.6,3.04,3.79,2,1.4,95.03,5.43,4.74,49.67,7.8,6.28,11.33,154.8
2.5,29.9,4.48,7.1,7.68,53.7,2.63,0.25,4.64,1.16,1.7,2,63.46,7.97,1.55,4.11,3.2,3.57,2.01,182
1,28,6.74,7,4.39,53.3,2.5,1.48,4,1.94,2.3,1.4,12,6.94,32.27,62.38,7.8,5.47,14.32,170.1
2.7,29.3,5.53,7.19,4.16,53.9,1.99,0.51,3.52,1.85,2,1.8,17.35,18.59,3.01,11.61,2.67,9.28,1.17,182.5
2.7,30.7,5.98,6.98,4.08,46.6,2.61,0.89,3.2,1.46,2.7,1.6,20.97,6.62,9.41,12.52,1.4,2.86,2.23,214.17
1.2,28.7,6.69,6.88,3.88,36.7,1.56,0.87,3.2,1.85,1.2,0.9,24.01,63.56,6.47,38.35,5.8,0.24,13.65,182.9
0.4,29.9,6.72,7.32,8.63,51.2,2.98,2.67,3.84,1.56,1.8,1.4,28.94,68.44,28.08,91.36,30.4,3.57,38.3,124.7
1.7,29.2,5.17,7.25,6.89,52.5,2.94,0.44,4.32,2.24,2.1,0.9,15.13,120.64,7.19,16.76,1.8,3.2,4.37,217.1
1,30.5,5.94,7.02,9.7,50.4,2.03,0.91,4.48,1.07,2.2,2,149.57,4.77,15.85,23.43,5.2,11.56,13.56,103.9
3,29,0.38,6.59,13.46,52.5,2.41,2.88,2.88,2.92,3.6,2.8,137.2,11.83,20.67,60.3,6.2,5.68,32.8,268.9
3.7,30.1,4.44,6.85,6.89,52.8,2.94,0.73,4.32,1.75,2.4,1.4,14.99,15.48,8.76,11.27,0.6,2.14,1.09,262.5
2.5,28.5,5.46,6.99,6.89,52.5,4.33,0.91,3.52,2.24,2,1.6,5.32,49.8,21.22,27.8,2.2,1.43,8.35,73.3
1.6,29.7,7.65,7.08,4.39,57.5,3.03,1.24,4,1.94,3,1.7,12.99,3.37,27.76,34.33,2.8,5.71,4.93,183
2,30,8.9,7.38,8.24,53.8,2.04,1,4.16,3.79,2.4,1.8,21.7,25.79,23.87,74.3,5,2.86,7.76,140.3
0.9,30.7,6.3,7.3,7.75,53.8,1.7,1.82,4,1.46,2.3,1.7,17.98,27.86,21.97,41.5,5,7.62,15.67,171.4
1.8,29.8,6.52,7.54,5.76,66.2,4.62,0.27,4.32,1.85,2.8,1.8,32.69,24.45,10.48,23.74,3.2,5.47,9.81,151.58
1.8,30.3,4.47,7.23,4.81,43.3,3.11,0.52,4.41,1.8,3,1.4,82.45,92.35,2.97,15.32,2.6,7.5,8.53,87.8
2.6,30.1,5.53,7.51,4.9,57.7,2.04,0.08,3.68,1.65,1.3,0.7,16.24,10.68,1.63,17.86,0.2,5,10.93,211.64
3,29.9,4.68,7.23,2.55,39,2.39,0.08,4,1.46,2.1,1,19.59,48.48,0.93,7.06,1.6,5.71,10.95,120.9
1,29.2,4.28,6.91,5.88,41.1,2.39,0.82,4.48,2.04,2,1.5,15.13,35.67,9.93,41.1,6,12.85,11.21,204.66
1,29.2,5.55,7.4,5.88,56.2,2.39,1.72,4.16,0.97,2.1,2,8.51,53.08,15.63,56.26,6.8,4.76,60.5,146.3
1.9,31.1,7.11,7.71,8.16,66.8,2.61,0.11,3.68,0.78,3.9,1.7,45.1,2.85,0.93,19.55,2.8,4.76,13.86,164.9
3,29.3,3.63,7.33,6,52.6,2.39,0.53,4.32,1.36,1.8,1.6,9.6,2.49,17,15.73,0.4,5.71,2.4,145.2
0.7,29.6,5.83,7.21,6.99,54.2,2.74,1.94,3.2,2.43,1.7,1.2,27.52,36.81,31.3,56.15,22.8,3.81,32.2,124.5
2.5,30.3,4.41,7.05,3.23,49.1,1.28,0.48,4.8,2.62,2.6,1.3,77.28,15.05,58.07,46.92,2.4,6.64,15.87,211.64
3,28.9,3.14,7.26,6,45,2.2,0.96,3.68,2.14,2.3,0.9,12.91,111.21,5.44,22.58,2.2,6.6,24,226
2.5,30.2,6.82,7.35,4.08,53.5,2.45,0.6,4.48,0.97,2.3,1.2,21.97,13.61,7.48,15.01,1.4,3.81,2.6,212.94
1.9,30.9,4.54,7.41,4.39,44.3,2.37,0.43,4.16,1.94,3,1,17.66,17.45,11.66,24.67,3,4.05,3.48,184.7
4,29.5,5.17,7.1,6.89,40.7,4.33,0.19,3.84,2.72,4.5,1.2,9.59,105.26,0.59,4.76,0.4,2.14,9.09,158.7
2.8,29.6,4.41,6.66,5.68,53.3,1.96,0.54,3.52,1.36,2.1,1.4,30.94,47.62,10.7,10.77,1.4,2.38,1.28,169.3
1.4,29.2,6.2,6.97,5.88,49.8,2.39,1.48,4,1.26,3.5,1.4,46.27,44.43,25.18,29.97,4,8.57,12.51,186.2
3.4,30.2,5.66,7.41,7.48,49.5,2.13,0.16,5.44,2.82,2,1.1,25.12,36.1,19.98,8.53,1.2,4.28,10.87,172.8
1.4,29.8,6.62,7.21,6.56,45.7,2.27,0.93,3.36,2.24,2.9,1.6,37.33,19.03,6.13,39.38,5,4.81,6.33,4.81
2.5,29.2,2.93,6.57,5.8,45.3,1.56,0.27,5.28,1.17,1.8,1.5,2.92,127.35,0.58,7.85,1.6,6.74,2.76,186.3
3.99,29.7,5.28,7.03,6.89,44.7,2.94,0.78,4.12,1.71,2.34,1.29,26.54,51.63,4.84,14.07,1.03,3.19,3.24,183.76
1.5,30.3,4.17,7.03,4.32,55.1,2.98,0.44,3.2,2.53,4.3,2.1,44.47,13.77,0.59,24.98,4.4,12.79,20.6,191.9
2,30.5,6.94,7.85,6.43,53.4,1.78,0.58,4.8,2.91,2.6,1.3,24.01,3.13,1.28,14.7,3.2,5.61,10,348.97
2.2,28.7,7.53,7.46,2.11,37.6,1.53,0.28,3.2,1.94,1.6,0.8,21.79,3.42,1.63,11.45,5.8,7.38,1.71,176.9
2.3,30.5,7.8,7.92,3.6,46.9,2.56,0.32,4.96,3.4,1.2,0.7,45.1,1.26,6.61,22.24,5,3.74,6.89,243.1
2.5,29.1,6.67,7.42,5.8,41.1,1.6,0.19,4.16,1.94,2.1,1.3,14.02,80.46,5.11,11.45,1.6,3.81,2.44,234.1
1.8,30.4,5.72,7.01,4.96,50.5,3.41,0.58,3.36,1.07,2.5,2.2,299.75,92.37,26.62,56.01,0.4,13.57,7.79,83.9
0.6,30.1,5.82,6.98,6.72,60.7,2.04,0.66,4.16,2.62,1.5,1.6,12.91,15.68,4.76,31.69,18.8,6.9,64.4,80.2
2,30.6,6.29,7.94,7.92,52.8,3.66,0.84,4,0.68,3.6,1.8,74.44,1.79,24.56,23.81,1.8,6.19,2.66,229.17
0.9,29.7,4.12,7.05,8.24,56.3,3.07,0.83,4.32,0.78,1.7,2.1,34.68,34.34,18.96,33.21,5.2,7.14,7.22,204.58
2.5,32.2,5.71,6.99,8.08,40.7,2.79,0.38,3.84,1.26,3.1,1.5,68.97,6.13,13.27,14.39,2,3.09,1.98,186.2
2.5,31.7,5.13,7.01,8,40,2.99,0.4,3.52,1.36,3.1,1.5,49.23,6.13,11.66,14.7,2.4,4.76,2.03,229.17
1.1,30,8.18,7.21,4.75,47.5,2.27,0.6,3.68,3.11,4.7,2.1,10.7,16.34,1.63,19.16,6.8,4.63,30.7,278.4
3.7,29.3,4.2,6.75,6.89,56.1,2.94,0.46,3.52,1.71,1.4,2,26.54,57.54,5.33,18.72,0.8,2.62,1.4,115.3
2,30.8,7.25,7.8,6.43,53.3,1.7,0.25,4.96,3.52,2.6,1.4,27.34,3.13,1.97,34.93,3,5.61,10,202.5
2.5,29.9,6.59,7.03,2.43,36.4,1.56,0.18,3.2,3.79,2.1,1.2,15.13,10.78,6.45,8.53,2.4,17.14,2.21,154.9
1.8,30.6,5.92,6.96,8,57.7,2.55,0.53,3.2,1.36,3.3,1.8,33.93,19,7.8,24.98,2.6,12.14,2.34,175.4
1.9,28.8,5.65,6.89,6.89,58.5,2.94,0.82,3.2,1.65,2.2,2,37.38,75.8,6.12,20.22,2.6,3.2,5.38,90.5
1.9,29,6.04,6.84,6.89,57.3,2.94,0.9,3.2,1.85,2.4,2.2,10.77,92.92,9.52,30.68,2.5,1.43,7.9,90.7
2.6,31.1,5.12,6.57,6.77,39.1,2.31,0.54,4.32,1.07,2.4,1.3,23.58,24.27,10.37,11.27,2.4,7.38,3,193.35
1.8,29.9,3.5,7.12,4.8,48,7.1,1.46,3.68,0.29,2.2,2.3,97.53,108.24,26.96,49.35,9.2,11.56,8.23,85.8
3.7,29.3,7.4,7.11,6.89,54.9,2.94,0.51,4.48,1.46,2.5,1.3,28.94,9.17,10.7,12.52,3,3.33,1.49,121.9
2.5,30.3,5.83,7.09,7.29,49.7,2.84,0.34,3.36,2.62,6.1,3,4.04,6.13,19.64,15.73,2.4,4.7,10.28,178.2
2.6,29.8,1.64,7,7.39,67.1,3.74,4.08,4,1.65,2.5,1,70.62,46.12,1.97,24.27,4.8,3.91,14.46,171
1.6,30.6,5.04,7.1,6.64,40.5,3.41,0.41,3.72,1.34,1.6,1,1.87,0.08,1.36,31.22,4.2,10.47,4.6,211.64
2.2,31.1,5.69,7.29,1.66,36.6,2.13,0.42,3.52,1.36,1.9,1.1,42.88,3.37,5.11,15.16,3.4,7.14,2.34,204.58
0.9,29.6,4.28,7.09,8.24,56.3,2.9,0.71,4.16,0.87,1.7,2.1,34.68,43.41,23.11,32.13,4,6.19,7.66,68.5
3,29.4,3.93,6.74,7.13,49.4,2.41,0.29,3.68,2.53,3.6,2.6,31.78,3.33,0.24,8.19,1.2,5.68,4.76,274.1
